,sub_sub_category
0,Combined shavers & trimmers
1,Shavers
2,Trimmers
3,Combined curling irons & straighteners
4,Crimpers
5,Curling irons
6,Heat brushes
7,Heated rollers
8,Body mist
9,Eau de cologne
10,Eau de parfum
11,Eau de toilette
12,Eau fraiche
13,Advent calendars
14,Base makeup & setting sprays
15,Cosmetic tools & makeup mirrors
16,Eyebrow products
17,Eyeshadows & eyeliners
18,Bikini trimmers
19,Epilators
20,Facial trimmers
21,Ipl
22,Lady shavers
23,Advent calendars
24,Care products
25,False nails
26,"Gift boxes, sets & multi-products"
27,Nail art
28,Comfort drops
29,Lens solutions
30,Computer screen glasses & blue light glasses
31,Glasses
32,Reading glasses
33,Crutches & medical aids
34,Health care meters
35,Self tests
36,Support & protection
37,Thermometers
38,Acupressure mats
39,Aroma therapy
40,Foot baths
41,Heating products
42,Light therapy
43,Bathroom scales
44,Diagnostic scales
45,Bandage & compress
46,First aid kits
47,Foot plasters
48,Plasters
49,Wound cleanser
50,Combined electric tootbrushes & irrigators
51,Electric toothbrushes
52,Irrigators
53,Advent calendars
54,Body care
55,Eye creams & eye serums
56,Facial treatments & cleansing products
57,Foot care
58,After shave
59,Beard care
60,Razor blades & cartridges
61,Razors
62,Shaver heads
63,Anti hair loss treatments
64,Conditioners
65,Dry shampoos
66,Extensions & wigs
67,"Gift boxes, sets & multi-products"
68,Advent calendars
69,Bath & shower products
70,Deodorants
71,"Gift boxes, sets & multi-products"
72,Hair removal products
73,Dental floss & dental sticks
74,Dentures & dental splints
75,Disclosing tablets
76,Irrigator heads
77,Teeth whitening
78,Backpacks
79,Bag accessories
80,Briefcases
81,Bum bags
82,Computer bags
83,Beauty cases
84,Cabin bags
85,"""Childrens luggage"""
86,Garment bags
87,Suitcase set
88,Pocket watches
89,Watch accessories
90,Watch straps
91,Wrist watches
92,Anklets
93,Bracelets
94,Brooches
95,Charms & pendants
96,Cufflinks
97,Card cases
98,Coin purses
99,Key cases
100,Keychains
101,Money clips
102,Accessories
103,Base layer
104,Bodysuits
105,Christening wear
106,Dresses
107,Accessories
108,Dresses
109,Jumpsuits & overalls
110,Outerwear
111,Pants & shorts
112,Boots
113,Heels & pumps
114,Low shoes
115,Rain boots
116,Slippers & sandals
117,Ballerina shoes
118,Beach shoes
119,Boots
120,Espadrilles
121,First steps
122,Anti-slip
123,Insoles
124,Shoe accessories
125,Shoe care
126,Bidets
127,Dry toilets
128,Water toilets
129,Bathroom extractor fans
130,Bathroom interior & storage
131,Bathtub & shower accessories
132,Toilet accessories
133,Sauna accessories
134,Sauna rooms
135,Basin taps
136,Bath taps & bath shower mixers
137,Kitchen taps
138,Bathroom cabinets
139,Bathroom mirrors
140,Mirrored cabinets
141,Vanity units
142,Bathtubs
143,Shower sets
144,Showers
145,Advent calendars
146,Baby food & formula
147,Baking
148,Beverages
149,Canned food
150,Cleaning agents
151,Cleaning equipment
152,Dispensers
153,Toilet & household paper
154,Waste disposal
155,Fire safety
156,Locks
157,Personal security
158,Safes
159,Surveillance & alarm systems
160,Rain & wind gages
161,"Thermometers, hygrometers & barometers"
162,Weather stations
163,Clothes hangers
164,Clothing care
165,Drying racks
166,Ironing board cover
167,Ironing boards
168,Handheld flashlights
169,Headlights
170,Penlights
171,Work lights
172,Fidget spinners & stress balls
173,Hip flasks
174,Smoking accessories
175,Storage
176,Travel pillows & sleep masks
177,Balloons
178,Cards & invitations
179,Drinking games
180,Party decorations
181,"Photo props, party hats & sashes"
182,Canister vacuum cleaners
183,Carpet cleaners
184,Central vacuum cleaners
185,Handheld vacuum cleaners
186,Shop vacuum cleaners
187,Upright vacuum cleaners
188,Cookers
189,Cooktops
190,Ovens
191,Freezers
192,Fridge freezers
193,Fridges
194,Wine coolers
195,Ceiling lamps
196,Christmas lights
197,Floor lamps & ground lighting
198,Lamp parts
199,Special lamps
200,Armchairs
201,Benches
202,Cabinets
203,Chairs
204,Chest of drawers
205,Bowls
206,Boxes & baskets
207,"Candlesticks, candles & fragrance"
208,Clocks
209,Decorative items
210,Bed frames
211,Beds
212,Headboards
213,Mattresses
214,Energy-efficient lamps
215,Fluorescent lamps
216,Halogen lamps
217,Incandescent lamps
218,Led lamps
219,Xenon lamps
220,Aprons
221,Bed linen
222,Blankets
223,Chair cushions
224,Cloths & tissues
225,Blinds
226,Curtain accessories
227,Curtains
228,Pleated blinds
229,Roll-up blinds
230,Bath mats
231,Carpets
232,Entrance mats
233,Sheepskin
234,Bar equipment
235,Cups & mugs
236,Cutlery
237,Dinner sets
238,Dishes
239,Casseroles
240,Cookware sets
241,Fondue
242,Inserts
243,Lids
244,Baking decorations
245,Baking supplies
246,Bowls
247,Icing bags & nozzles
248,Rolling pins
249,Knife accessories
250,Knives
251,Bar code scanners
252,Binding machines
253,Calendar & notepads
254,Desktop organizers & storage
255,Desktop stationary
256,Coffee brewers
257,Coffee maker accessories
258,Coffee presses
259,Espresso machines
260,Moka pots
261,Egg boilers
262,Food steamers
263,Multi cookers
264,Pressure cookers
265,Rice cookers
266,Accessories
267,Soft drinks makers
268,Accessories for food mixers & food processors
269,Food mixers
270,Food processors
271,Air conditioners
272,Air coolers
273,Air purifiers
274,Air quality monitors
275,Dehumidifiers
276,Accessories
277,Jug blenders
278,Smoothie blenders
279,Ceiling fans
280,Desk fans
281,Floor fans
282,Hand held fans
283,Industrial fans
284,Dessert appliances
285,Kitchen appliance accessories
286,Kitchen appliances for fruit/vegetables
287,Meat slicers
288,Mincers
289,Citrus presses
290,Juice extractors
291,Slow juicers
292,Accessories for surveillance cameras
293,Surveillance cameras
294,Bubble machines
295,Confetti & streamer machines
296,Fog machines
297,Snow machines
298,Cartridges
299,Record cleaners
300,Styluses
301,Turntables
302,Speaker mounts
303,Speaker stands
304,Drums & cymbals
305,Keyboard instruments
306,String instruments
307,Wind instruments
308,Capos
309,Care products for musical instruments
310,Cases for musical instruments
311,Conducting batons
312,Drum heads (skins)
313,Bass amplifier tops
314,Bass amplifiers
315,Bass cabinets
316,Drum amplifiers
317,Guitar amplifier tops
318,Microphone
319,Microphone stands
320,Parabolic antennas
321,Screen mounts
322,Tv antenna amplifiers
323,Tv antennas
324,Tv modules
325,Goal keeper gloves
326,Shin guards
327,Soccer balls
328,Soccer equipment
329,Soccer goals
330,Basketball hoops
331,Basketball nets
332,Basketball sets
333,Basketball stands
334,Basketballs
335,Floorball accessory
336,Floorball balls
337,Floorball goals
338,Floorball sticks
339,Cricket bats
340,Protective equipment
341,Rugby balls
342,Football gloves
343,Footballs
344,Helmets
345,Bike bags & baskets
346,Bike bells
347,Bike carts & tandem bike trailers
348,Bike child seats
349,Bike computers & bike sensors
350,E-bike batteries & chargers
351,E-city bikes
352,E-mountainbikes
353,E-road bikes
354,Bmx bikes
355,City bikes
356,"""Kids bikes"""
357,Mountainbikes
358,Road bikes
359,Bicycle forks
360,Bicycle frames
361,Bicycle tires
362,Bike saddles
363,Brakes
364,Air beds
365,Bug protection
366,Camping cooking equipment
367,Camping furniture
368,Cool bags & boxes
369,Clothing
370,Fishing accessories
371,Lines
372,Lures
373,Reels
374,Binoculars
375,Laser rangefinders
376,Monoculars
377,Night vision binoculars
378,Spotting scopes
379,Telescopes
380,Padel bags & covers
381,Padel balls
382,Padel rackets
383,Badminton rackets
384,Badminton set & net
385,Badminton strings
386,Shuttlecocks
387,Table tennis balls
388,Table tennis bats
389,Table tennis blades
390,Table tennis nets
391,Table tennis rubbers
392,Tennis bags & covers
393,Tennis balls
394,Tennis rackets
395,Squash balls
396,Squash rackets
397,Pickleball balls
398,Pickleball paddles
399,Pickleball sets
400,Inline skates
401,Roller skates
402,Roller skating accessories
403,Complete skateboards
404,Cruisers
405,Decks
406,Longboards
407,Skateboard accessories
408,Alpine protection
409,Avalanche equipment
410,Balaclavas
411,Buffs
412,Goggles
413,Cross country boots
414,Cross country ski bindings
415,Cross country ski poles
416,Cross country skis
417,Roller skiing
418,Hockey goalie equipment
419,Ice hockey accessories 
420,Ice hockey helmets
421,Ice hockey sticks
422,Player protective
423,Figure skates
424,Ice hockey skates
425,Ice skates
426,Ice skating accessories
427,Downhill boots
428,Downhill ski bindings
429,Downhill ski poles
430,Downhill skis
431,Ski skins
432,Snowboard bindings
433,Snowboard boots
434,Snowboards
435,Bluetooth adapters
436,Network cards
437,Wireless network cards
438,Controllers
439,Cpu coolers
440,Fans
441,Graphics card coolers
442,Hdd coolers
443,Capture & video cards
444,Tv cards
445,3d mice
446,Gaming mice
447,Pen mice
448,Rollerbars
449,Standard mice
450,Carbon rolls
451,Developers
452,Fusers
453,Ink
454,Opc drums
455,Cases & covers
456,Docking stations
457,Keyboards
458,Screen protectors
459,Stylus pens
460,Tablet holders
461,3d-printers
462,Filaments
463,Memory cards
464,Usb flash drives
465,Adapters
466,Cable clips & cable accessories
467,Cable ties
468,Dimmers
469,Doorbells
470,Doorhandles & knobs
471,Fixings
472,Insulation strips
473,Putty & building chemicals
474,Tape
475,Decking timber
476,Roof windows
477,Top hung windows
478,Carports
479,Firewood shed
480,Garden storage units
481,Sheds
482,Linoleum flooring
483,Outdoor flooring
484,Plastic flooring
485,Wood flooring
486,Plastic roofing
487,Roof entrance
488,Electric fireplaces
489,Ethanol fireplaces
490,Fireplace accessories
491,Wood stoves
492,Air heating pump
493,Sewer
494,Water
495,Fan radiators
496,Oil radiators
497,Panel radiators
498,Radiator covers
499,Burners
500,Carving machines
501,Cement mixers
502,Compressors
503,Demolition hammers
504,Hammer drills
505,Impact wrenches
506,Screwdrivers
507,Set
508,Band saws
509,Circular saws
510,Drywall cutters
511,Jigsaws
512,Miter saws
513,Axes
514,Brush tools
515,Chisels
516,Clamps
517,Crowbars
518,Grinders & sanders
519,Polisher
520,Audiobooks
521,Books
522,E-books
523,3d blu rays
524,4k blu-ray
525,Blu-ray
526,Dvd-movies
527,Built in cooktops
528,Freestanding cooktops
529,Cast iron cookers
530,Gas cookers
531,Induction cookers
532,Chest freezers
533,Freestanding freezers
534,Integrated freezers
535,Upright freezers
536,Freestanding refrigerators
537,Integrated refrigerators
538,Mini fridges
539,Wine coolers
540,Wine storage cabinets
